1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
407	-0.356099	42.725568	0.072828	1.5
408	-0.381419	42.683460	0.079141	1.7
409	-0.186505	42.641463	0.044694	1.5
410	-0.100683	42.599575	0.023310	1.5
411	-0.596626	42.557797	0.136025	1.4
412	-0.602429	42.516128	0.136429	1.5
413	-0.043334	42.474568	0.016187	1.5
414	-0.507251	42.433116	0.066593	1.5
415	-0.063204	42.391772	0.007903	1.5
416	-0.479862	42.350535	0.080935	1.5
417	-0.305343	42.309404	0.053703	1.3
418	-0.599832	42.268380	0.289677	1.4
419	-0.167531	42.227462	0.019057	1.4
420	-0.062259	42.186650	0.019112	1.5
421	-0.080630	42.145942	0.013147	1.4
422	-0.260552	42.105339	0.038306	2.0
423	-0.225743	42.064840	0.034664	1.5
424	-0.131688	42.024445	0.005641	1.6
425	-0.242416	41.984153	0.069521	1.6
426	-0.310929	41.943964	0.047438	1.4
427	-0.108514	41.903877	0.019370	1.5
428	-0.188181	41.863893	0.014215	1.5
429	-0.064138	41.824010	0.017138	1.9
430	-0.278856	41.784228	0.034813	4.7
431	-0.282316	41.744547	0.052757	3.7
432	-0.595378	41.704966	0.086811	3.3
433	-0.258802	41.665485	0.053268	3.5
434	-0.353081	41.626104	0.116867	2.0
435	-0.258830	41.586821	0.071029	13.4
436	-0.520712	41.547638	0.133142	1.6
437	-0.291738	41.508552	0.032880	1.4
438	-0.205632	41.469565	0.039398	2.0
439	-0.409941	41.430675	0.121757	1.2
440	-0.532337	41.391882	0.068743	1.6
441	-0.600348	41.353186	0.264611	1.5
442	-0.767666	41.314587	0.165740	1.5
443	-0.202604	41.276083	0.017794	1.5
444	-0.280305	41.237675	0.087477	1.5
445	-0.179924	41.199361	0.031657	1.5
446	-0.093606	41.161143	0.063360	1.7
447	-0.301595	41.123019	0.027791	1.6
448	-0.324352	41.084989	0.016734	2.1
449	-0.251303	41.047053	0.075680	2.7
450	-0.086533	41.009210	0.013285	2.4
451	-0.607415	40.971460	0.131313	1.6
452	-0.129575	40.933802	0.003088	2.2
453	-0.127773	40.896237	0.005087	2.0
454	-0.065443	40.858763	0.020024	3.4
455	-0.628123	40.821381	0.080252	2.2
456	-0.319563	40.784090	0.080057	2.6
457	-0.178660	40.746889	0.040179	1.9
458	-0.725238	40.709779	0.259317	2.7
459	-0.415294	40.672759	0.056940	2.6
460	-0.221594	40.635829	0.018565	1.9
461	-0.770907	40.598987	0.280254	1.7
462	-0.046681	40.562235	0.016699	1.5
463	-0.098069	40.525571	0.025465	1.4
464	-0.486776	40.488996	0.028130	2.6
465	-0.020488	40.452509	0.015237	2.6
466	-0.416234	40.416109	0.036642	3.7
467	-0.046895	40.379796	0.006329	2.1
468	-0.058154	40.343570	0.011247	2.4
469	-0.053839	40.307431	0.015072	4.7
470	-0.481634	40.271377	0.060557	6.2
471	-0.313762	40.235410	0.043094	1.9
472	-0.632661	40.199528	0.110656	1.4
473	-0.325568	40.163732	0.012715	1.7
474	-0.173386	40.128020	0.051332	1.6
475	-0.144475	40.092393	0.045658	1.4
476	-0.237543	40.056850	0.038952	2.1
477	-0.056203	40.021391	0.009618	1.3
478	-0.180103	39.986016	0.041376	1.5
479	-0.230756	39.950723	0.100960	1.5
480	-0.553276	39.915514	0.120490	3.1
481	-0.400399	39.880388	0.148535	2.1
482	-0.424180	39.845343	0.287826	1.8
483	-0.269232	39.810381	0.048396	1.4
484	-0.357943	39.775500	0.068794	2.5
485	-0.614331	39.740701	0.063764	2.1
486	-0.195843	39.705983	0.031377	1.6
487	-0.358105	39.671346	0.030176	2.2
488	-0.216005	39.636789	0.048774	1.8
489	-0.999640	39.602312	0.168617	1.4
490	-0.326732	39.567915	0.034357	1.3
491	-0.588003	39.533598	0.045069	1.4
492	-0.622143	39.499360	0.154529	1.3
493	-0.629036	39.465200	0.387317	1.4
494	-0.311070	39.431120	0.061259	1.8
495	-0.092644	39.397118	0.026064	1.4
496	-0.162130	39.363194	0.070600	1.3
497	-0.061474	39.329348	0.019791	1.4
498	-0.165986	39.295579	0.054672	1.4
499	-0.130194	39.261887	0.020438	2.7
500	-0.508608	39.228273	0.059019	2.0
501	-0.571225	39.194735	0.145733	1.8
502	-0.522019	39.161273	0.165613	2.5
503	-0.174114	39.127887	0.007241	4.9
504	-0.053217	39.094578	0.016381	3.5
505	-0.000016	39.061343	0.000013	2.1
506	-0.457581	39.028184	0.038778	1.7
507	-0.135770	38.995100	0.035681	1.8
508	-0.103219	38.962091	0.042290	1.6
509	-0.099330	38.929156	0.011068	1.4
510	-0.137466	38.896295	0.013894	1.4
511	-0.096787	38.863508	0.025292	1.8
512	-0.416536	38.830795	0.107337	2.0
513	-0.406529	38.798155	0.045877	2.0
514	-0.133917	38.765588	0.074519	7.3
515	-0.249738	38.733093	0.027307	3.4
516	-0.329545	38.700672	0.065812	4.0
517	-0.208492	38.668322	0.010776	2.3
518	-0.520726	38.636045	0.099987	6.3
519	-0.081762	38.603839	0.020875	2.2
520	-0.452411	38.571705	0.070979	2.6
521	-0.319600	38.539642	0.110289	2.3
522	-0.003094	38.507650	0.009063	1.9
523	-0.224281	38.475729	0.039835	5.6
524	-0.181373	38.443878	0.009988	2.1
525	-0.000000	38.412098	0.000000	1.9
526	-0.081092	38.380387	0.020919	1.5
527	-0.230993	38.348746	0.050849	1.0
528	-0.040795	38.317175	0.027375	1.8
529	-0.146123	38.285672	0.048563	2.1
530	-0.645331	38.254239	0.180913	2.1
531	-0.598153	38.222875	0.085646	2.4
532	-0.278371	38.191579	0.082285	2.1
533	-0.751435	38.160351	0.246549	2.1
534	-0.064644	38.129191	0.019116	3.0
535	-0.249452	38.098099	0.077917	1.7
536	-0.319524	38.067075	0.010654	4.3
537	-0.498918	38.036117	0.053159	1.4
538	-0.001209	38.005227	0.003387	1.5
539	-0.295734	37.974404	0.083678	1.4
540	-0.262610	37.943647	0.098234	1.7
541	-0.639986	37.912956	0.186070	1.5
542	-0.289880	37.882332	0.045540	1.9
543	-0.793617	37.851774	0.276242	1.5
544	-0.332176	37.821281	0.079305	2.3
545	-0.503146	37.790853	0.162945	1.9
546	-0.490743	37.760491	0.077018	1.7
547	-0.064714	37.730194	0.016467	1.8
548	-0.335006	37.699961	0.040312	1.3
549	-0.584456	37.669793	0.240538	1.4
550	-0.123988	37.639690	0.012316	2.1
551	-0.250072	37.609650	0.022339	2.1
552	-0.374911	37.579674	0.052269	2.8
553	-0.272725	37.549762	0.046166	2.0
554	-0.694646	37.519913	0.094968	1.6
555	-0.403600	37.490128	0.043182	1.2
556	-0.246647	37.460405	0.028892	1.4
557	-0.310192	37.430745	0.022528	1.3
558	-0.357306	37.401148	0.100788	1.4
559	-0.142429	37.371613	0.016760	1.4
560	-0.228090	37.342140	0.031751	1.4
561	-0.238881	37.312729	0.032981	1.4
562	-0.286686	37.283380	0.108370	1.4
563	-0.491754	37.254092	0.220250	2.1
564	-0.245223	37.224865	0.055139	2.1
565	-0.276053	37.195700	0.062602	1.5
566	-0.145221	37.166595	0.043340	1.4
567	-0.296572	37.137551	0.046060	1.4
568	-0.306211	37.108568	0.012752	1.4
569	-0.614542	37.079644	0.131801	1.4
570	-0.461703	37.050781	0.126610	1.4
571	-0.309863	37.021978	0.075058	3.9
572	-0.567033	36.993234	0.145902	1.6
573	-0.822208	36.964550	0.252533	2.1
574	-0.118473	36.935925	0.015704	1.6
575	-0.274758	36.907358	0.091082	1.5
576	-0.203269	36.878851	0.053385	1.4
577	-0.105649	36.850403	0.046121	1.4
578	-0.226017	36.822012	0.014731	1.5
579	-0.144599	36.793681	0.024349	1.4
580	-0.659552	36.765407	0.090193	1.4
581	-0.336042	36.737191	0.061448	1.4
582	-0.477861	36.709033	0.087414	1.4
583	-0.284451	36.680932	0.046446	1.4
584	-0.526644	36.652888	0.173235	1.3
585	-0.404891	36.624902	0.082205	1.4
586	-0.131967	36.596972	0.056735	1.4
587	-0.512930	36.569099	0.267758	1.4
588	-0.660544	36.541283	0.143156	1.4
589	-0.597293	36.513523	0.117876	1.3
590	-0.221067	36.485820	0.030323	1.5
591	-0.381917	36.458172	0.051927	2.1
592	-0.191963	36.430580	0.041952	1.4
593	-0.415299	36.403043	0.129535	1.4
594	-0.338603	36.375563	0.085326	1.7
595	-0.447145	36.348137	0.160448	1.6
596	-0.212041	36.320766	0.051476	1.4
597	-0.130672	36.293451	0.016567	1.5
598	-0.534235	36.266190	0.158925	1.8
599	-0.363965	36.238983	0.110455	2.0
600	-0.281322	36.211831	0.081209	1.4
601	-0.157597	36.184733	0.065212	1.3
602	-0.615167	36.157689	0.275274	1.4
603	-0.621292	36.130699	0.050491	1.4
604	-0.236745	36.103763	0.054490	1.6
605	-0.502895	36.076880	0.079715	1.3
606	-0.289739	36.050050	0.047237	1.4
607	-0.173228	36.023274	0.023472	1.4
608	-0.295748	35.996550	0.032038	1.3
609	-0.203865	35.969880	0.054285	1.3
610	-0.504705	35.943262	0.180996	2.7
611	-0.245654	35.916696	0.071124	2.3
612	-0.455671	35.890183	0.224420	1.9
613	-0.556748	35.863721	0.162970	1.5
614	-0.318808	35.837312	0.104583	1.7
615	-0.045645	35.810955	0.018295	1.6
616	-0.531842	35.784649	0.042204	1.5
617	-0.445145	35.758395	0.072789	1.9
618	-0.158349	35.732192	0.035688	1.7
619	-0.131420	35.706040	0.051315	1.9
620	-0.325999	35.679939	0.082887	1.9
621	-0.533150	35.653889	0.161289	1.8
622	-0.466041	35.627889	0.070672	1.4
623	-0.015545	35.601940	0.017642	1.4
624	-0.684229	35.576042	0.309366	1.9
625	-0.602203	35.550193	0.260887	4.8
626	-0.068294	35.524395	0.003498	2.2
627	-0.221769	35.498646	0.048377	7.7
